Government Relations,العلاقات الحكومية,
Government Relations Dashboard,لوحة العلاقات الحكومية,
Outside KSA Leave Center,مركز إجازات خارج السعودية,
Employee Travel Profile,ملف سفر الموظف,
Clearance Center,مركز المخالصات,
Payment Center,مركز السداد,
Ticket Center,مركز التذاكر,
Employee Government Profile,الملف الحكومي للموظف,
Government Request,الطلب الحكومي,
Employee Visa,تأشيرة الموظف,
Government Payment Request,طلب السداد الحكومي,
Employee Clearance,مخالصة الموظف,
Employee Clearance Item,بند مخالصة الموظف,
Employee Custody,عهدة الموظف,
Travel Ticket Request,طلب تذكرة طيران,
Leave End Date,تاريخ انتهاء الإجازة,
Government Relations Settings,إعدادات العلاقات الحكومية,
Visa Pricing Rule,قاعدة تسعير التأشيرة,
Sponsorship Transfer Pricing Rule,قاعدة تسعير نقل الكفالة,
Sponsorship Transfer Request,طلب نقل الكفالة,
Outside KSA Leave,إجازة خارج السعودية,
Issue Exit Re-entry Visa,إصدار تأشيرة خروج وعودة,
Extend Exit Re-entry Visa,تمديد تأشيرة خروج وعودة,
Cancel Exit Re-entry Visa,إلغاء تأشيرة خروج وعودة,
Sponsorship Transfer,نقل الكفالة,
Issue Iqama,إصدار إقامة,
Renew Iqama,تجديد إقامة,
Final Exit,خروج نهائي,
Passport Update,تحديث الجواز,
Work Permit Renewal,تجديد رخصة العمل,
Government Payment,سداد حكومي,
Submitted,تم الإرسال,
Under Review,تحت المراجعة,
Government Processing,قيد الإجراء الحكومي,
Waiting Payment,بانتظار السداد,
Paid,تم السداد,
Issued,تم الإصدار,
Completed,مكتمل,
Rejected,مرفوض,
Cancelled,ملغي,
On Hold,معلق,
Requested,مطلوب,
Waiting Approval,بانتظار الموافقة,
Posted to GL,تم الترحيل للأستاذ العام,
Pending Finance Clearance,بانتظار مخالصة المالية,
Pending Asset Clearance,بانتظار تسليم العهد,
Pending HR Clearance,بانتظار اعتماد الموارد البشرية,
Pending Government Clearance,بانتظار اعتماد العلاقات الحكومية,
Cleared,تمت المخالصة,
Approved,معتمد,
Sent to Qiwa,تم الإرسال إلى قوى,
Employee,الموظف,
Employee Name,اسم الموظف,
Company,الشركة,
Branch,الفرع,
Department,القسم,
Designation,المسمى الوظيفي,
Nationality,الجنسية,
Identity Type,نوع الهوية,
Iqama Number,رقم الإقامة,
Iqama Issue Date,تاريخ إصدار الإقامة,
Iqama Expiry Date,تاريخ انتهاء الإقامة,
Iqama Status,حالة الإقامة,
Passport Number,رقم الجواز,
Passport Issue Date,تاريخ إصدار الجواز,
Passport Expiry Date,تاريخ انتهاء الجواز,
Passport Status,حالة الجواز,
Current Sponsor,الكفيل الحالي,
Qiwa Balance,رصيد قوى,
Current Exit Re-entry Visa,تأشيرة الخروج والعودة الحالية,
Visa Status,حالة التأشيرة,
Status,الحالة,
Completion Progress,نسبة إنجاز الطلب,
Completion Percent,نسبة الإنجاز,
Visa Expiry Date,تاريخ انتهاء التأشيرة,
Outside KSA,خارج السعودية,
Last Exit Date,تاريخ آخر خروج,
Expected Return Date,تاريخ العودة المتوقع,
Actual Return Date,تاريخ العودة الفعلي,
Latest Clearance,آخر مخالصة,
Leave Application,طلب الإجازة,
Destination Country,دولة السفر,
